sys.sample.code,sys.loc.code,soil.type,sample.type,parent.sample.code,bkg.char.group,start.depth,sample.date,chemical.name,detect.lag,final.detect.flag,final.result.value,final.detection.limit,combo.result
18IT00196,18GP164,alluvial,N,,Area 18,4,4/30/2003,Cadmium,Y,Y,0.409,,0.409
18IT00195,18GP164,alluvial,N,,Area 18,0,4/30/2003,Cadmium,Y,Y,0.471,,0.471
18IT00197,18GP164,alluvial,N,,Area 18,8,4/30/2003,Cadmium,Y,Y,0.476,,0.476
18IT00216,18GP167,alluvial,N,,Area 18,0,4/30/2003,Cadmium,Y,Y,0.437,,0.437
18IT00190,18GP163,alluvial,N,,Area 18,8,4/30/2003,Cadmium,Y,Y,0.44,,0.44
18IT00196,18GP164,alluvial,N,,Area 18,4,4/30/2003,Chromium,Y,Y,11.6,,11.6
18IT00245,18GP171,alluvial,N,,Area 18,4,4/30/2003,Copper,Y,Y,13.9,,13.9
BG-14(070190),BG14,alluvial,N,,background,0.3,7/1/1990,Chromium,Y,Y,25.2,,25.2
18IT00246,18GP171,alluvial,N,,Area 18,8,4/30/2003,Nickel,Y,Y,15.15,,15.15
18IT00197,18GP164,alluvial,N,,Area 18,8,4/30/2003,Nickel,Y,Y,22.6,,22.6
18IT00245,18GP171,alluvial,N,,Area 18,4,4/30/2003,Nickel,Y,Y,16,,16
18IT00218,18GP167,alluvial,N,,Area 18,8,4/30/2003,Nickel,Y,Y,16.85,,16.85
18IT00190,18GP163,alluvial,N,,Area 18,8,4/30/2003,Nickel,Y,Y,21.7,,21.7
18IT00244,18GP171,alluvial,N,,Area 18,0,4/30/2003,Nickel,Y,Y,16.8,,16.8
18IT00189,18GP163,alluvial,N,,Area 18,4,4/30/2003,Nickel,Y,Y,16.3,,16.3
18IT00188,18GP163,alluvial,N,,Area 18,0,4/30/2003,Nickel,Y,Y,12.2,,12.2
18IT00190,18GP163,alluvial,N,,Area 18,8,4/30/2003,Chromium,Y,Y,12.8,,12.8
18IT00217,18GP167,alluvial,N,,Area 18,4,4/30/2003,Nickel,Y,Y,18.5,,18.5
18IT00188,18GP163,alluvial,N,,Area 18,0,4/30/2003,Copper,Y,Y,10.6,,10.6
18IT00217,18GP167,alluvial,N,,Area 18,4,4/30/2003,Copper,Y,Y,12.5,,12.5
18IT00195,18GP164,alluvial,N,,Area 18,0,4/30/2003,Copper,Y,Y,19,,19
18IT00244,18GP171,alluvial,N,,Area 18,0,4/30/2003,Copper,Y,Y,13.6,,13.6
18IT00190,18GP163,alluvial,N,,Area 18,8,4/30/2003,Copper,Y,Y,15.3,,15.3
18IT00216,18GP167,alluvial,N,,Area 18,0,4/30/2003,Copper,Y,Y,13.6,,13.6
18IT00246,18GP171,alluvial,N,,Area 18,8,4/30/2003,Copper,Y,Y,14.175,,14.175
